session_pitch_id,releaseHeight,horizontalBreak,spinClockTiltHour,date,szx,szy,selected,verticalBreak,_hour,videoPointerID,speed,no,pitchType,_minute,spinConfidence,spinEfficiency,releaseSide,trueSpin,date_original,_month,_milisecond,strike,sessionID,_day,truespin,_year,pitch_id,spin,launchAngle,_second,spinAxis,releaseExtension,rifleSpin,gyroDegree,mode,_id,spinClockTiltMinute,horizontalAngle,memo
0,6.675457392036459,0,1,2019-09-27 00:00:00,-25.9,50.6,False,0,19,,52.6,1,0,40,0,0,-1.9180657378235964,0,2019-09-27T19:40:32.000Z,9,0,N,0,27,0,2019,1569613232,1755,3.9767096,32,0,0,523.755,90.0,1,101375,52,0.3,
1,5.6442024035923115,-11.6,1,2019-09-27 00:00:00,-11.5,45.6,False,12.7,19,,80.8,2,0,38,0.766602,96.9,-1.9407870764408102,1545,2019-09-27T19:38:55.000Z,9,0,N,0,27,1545,2019,1569613135,1595,-0.4679854,55,10h:36m,0,-393.826447,-14.3,1,101375,24,2.6,
2,5.5220505333279,0,7,2019-09-27 00:00:00,32.3,17.4,False,0,19,,71.3,3,0,37,0,0,-1.8970728375292198,0,2019-09-27T19:37:49.000Z,9,0,N,0,27,0,2019,1569613069,1867,1.01107109,49,0,0,-1622.19421,-90.0,1,101375,12,3.8,
3,5.7062106385947,-11.8,1,2019-09-27 00:00:00,-1.2,23.4,False,15.2,19,,80,4,0,37,0.749807,99.6,-1.94231594783421,1762,2019-09-27T19:37:38.000Z,9,0,Y,0,27,1762,2019,1569613058,1768,-2.51614022,38,10h:44m,0,-147.884354,-4.8,1,101375,16,3.7,
4,5.58727723946379,7.2,7,2019-09-27 00:00:00,7.8,6.4,False,-9.8,19,,71.1,5,4,37,0.872204661,56.3,-2.0307308364200445,1083,2019-09-27T19:37:16.000Z,9,0,N,0,27,1083,2019,1569613036,1922,-0.332183421,16,04h:42m,0,-1588.31714,-55.7,1,101375,18,2.0,
5,5.655277764501534,0,6,2019-09-27 00:00:00,-14.4,52,False,0,19,,67.7,6,4,37,0,0,-2.06332316586591,0,2019-09-27T19:37:04.000Z,9,0,N,0,27,0,2019,1569613024,1534,3.23786783,4,0,0,-1033.73987,-90.0,1,101375,46,-0.0,
6,5.642088066318756,13.1,7,2019-09-27 00:00:00,15.8,37.3,False,-11.3,19,,67.8,7,3,36,0.7943817,84.1,-1.7925918662418001,1340,2019-09-27T19:36:49.000Z,9,0,N,0,27,1340,2019,1569613009,1592,2.61629057,49,04h:20m,0,-860.7942,-32.7,1,101375,40,1.9,
7,5.711069562486601,-11.2,1,2019-09-27 00:00:00,11.1,7.3,False,15.6,19,,80.8,8,0,36,0.7684103,99.3,-1.89422867741991,1824,2019-09-27T19:36:38.000Z,9,0,N,0,27,1824,2019,1569612998,1837,-3.01920319,38,10h:50m,0,-220.422379,-6.9,1,101375,10,4.9,
8,5.730781275114987,0,1,2019-09-27 00:00:00,-2.5,46.6,False,0,19,,80.5,9,0,36,0,0,-1.7505108294324299,0,2019-09-27T19:36:27.000Z,9,0,N,0,27,0,2019,1569612987,1729,-0.775476158,27,0,0,-200.437958,-90.0,1,101375,14,3.3,
9,5.753456471999847,-11.9,1,2019-09-27 00:00:00,-2.1,30.5,False,15.3,19,,80.6,10,0,36,0.8207979,99.4,-1.9378405541266202,1834,2019-09-27T19:36:15.000Z,9,0,Y,0,27,1834,2019,1569612975,1845,-1.65113151,15,10h:44m,0,-202.0634,-6.3,1,101375,16,3.4,
10,5.542520546482374,0,7,2019-09-27 00:00:00,21.8,10.4,False,0,19,,70.2,11,4,36,0,0,-1.856876525132164,0,2019-09-27T19:36:00.000Z,9,0,N,0,27,0,2019,1569612960,1846,1.25661623,0,0,0,-1512.716,-90.0,1,101375,14,2.8,
11,5.537934818128948,6.4,7,2019-09-27 00:00:00,16.1,5.2,False,-10.6,19,,70.3,12,4,35,0.9420695,56.6,-2.00572211590959,990,2019-09-27T19:35:45.000Z,9,0,N,0,27,990,2019,1569612945,1750,0.484765977,45,04h:52m,0,-1443.165,-55.6,1,101375,8,2.7,
12,5.659838853747312,0,1,2019-09-27 00:00:00,-9,21.3,False,0,19,,80.5,13,0,35,0,0,-2.03795571175911,0,2019-09-27T19:35:32.000Z,9,0,Y,0,27,0,2019,1569612932,1745,-2.87761641,32,0,0,-72.79603,-90.0,1,101375,12,2.8,
13,5.598169923207381,6.1,7,2019-09-27 00:00:00,-5.2,33.7,False,-6.8,19,,68.1,14,3,35,0.9071414,74,-1.82981102640336,542,2019-09-27T19:35:20.000Z,9,0,Y,0,27,542,2019,1569612920,732,2.84275413,20,04h:32m,0,491.978424,42.2,1,101375,28,0.6,
14,5.591533243407267,10.6,9,2019-09-27 00:00:00,-10.2,38.6,False,5.8,19,,68.3,15,3,35,0.8128439,99.8,-1.8540067810333134,686,2019-09-27T19:35:09.000Z,9,0,Y,0,27,686,2019,1569612909,687,3.002279,9,02h:04m,0,-42.9801979,-3.6,1,101375,56,-0.2,
15,5.656348991537283,-11.3,1,2019-09-27 00:00:00,-14.4,14.2,False,15.1,19,,80.4,16,0,34,0.77009654,99.4,-1.79337008146608,1770,2019-09-27T19:34:56.000Z,9,0,N,0,27,1770,2019,1569612896,1781,-2.80699229,56,10h:46m,0,-197.298859,-6.4,1,101375,14,2.5,
16,5.772310146569187,-11.1,1,2019-09-27 00:00:00,5.7,44.9,False,15,19,,81.1,17,0,34,0.8341825,99.7,-1.64466634108257,1771,2019-09-27T19:34:42.000Z,9,0,N,0,27,1771,2019,1569612882,1777,-0.5736229,42,10h:46m,0,-145.814056,-4.7,1,101375,14,3.6,
